,CharacterName,Sentiment
720,Jackhammer (comics),5.7248863636363705
721,Jackpot (Marvel Comics),6.055
722,Jacob Shaw (comics),5.43
723,Jake Fury,5.091333333333333
724,Jamie Braddock,5.497107601184613
725,Jamie Madrox,5.520925737538149
726,Jane Foster (comics),5.378333333333334
727,Jann of the Jungle,6.103823529411763
728,Janus (Marvel Comics),5.61587234042553
729,Jarella,5.640074626865679
730,Jason Macendale,5.449286798179049
731,Jasper Sitwell,5.4792635024550025
732,Jazinda,5.507557522123899
733,Jean DeWolff,5.48571542130363
734,Jean Grey,5.622447069513748
735,Jebediah Guthrie,6.88
736,Jeffrey Garrett,5.53375
737,Jemma Simmons,5.556126560726413
738,Jen Cooke,5.906666666666667
